name,iso_country,municipality,iata_code,,,,
Fera/Maringe Airport,SB,Fera Island,FRE,,,,
Honiara International Airport,SB,Honiara,HIR,,,,
Babanakira Airport,SB,Mbambanakira,MBU,,,,
Little Grand Rapids Airport,CA,Little Grand Rapids,ZGR,,,,
Ngorangora Airport,SB,Kirakira,IRA,,,,
Ngoma Airport,ZM,Ngoma,ZGM,,,,
Munda Airport,SB,,MUA,,,,
Nusatupe Airport,SB,Gizo,GZO,,,,
Mono Airport,SB,Stirling Island,MNY,,,,
South Galway Airport,AU,,ZGL,,,,
Gods River Airport,CA,Gods River,ZGI,,,,
Grand Forks Airport,CA,Grand Forks,ZGF,,,,
Sege Airport,SB,Sege,EGM,,,,
Fairview Airport,CA,Fairview,ZFW,,,,
Unifly Heliport,BR,ArujÃ¡,ZFU,,,,
Tulita Airport,CA,Tulita,ZFN,,,,
Fort Mcpherson Airport,CA,Fort Mcpherson,ZFM,,,,
Fond-Du-Lac Airport,CA,Fond-Du-Lac,ZFD,,,,
Kaghau Airport,SB,Kagau Island,KGE,,,,
Kukudu Airport,SB,Kolombangara Island,KUE,,,,
Kwailabesi Airport,SB,Kwailabesi,KWS,,,,
Faro Airport,CA,Faro,ZFA,,,,
Ziro Airport,IN,Ziro,ZER,,,,
Zenag Airport,PG,Zenag,ZEN,,,,
Eastmain River Airport,CA,Eastmain River,ZEM,,,,
Bella Bella (Campbell Island) Airport,CA,Bella Bella,ZEL,,,,
Senggo Airport,ID,Senggo-Papua Island,ZEG,,,,
Secunda Airport,ZA,Secunda,ZEC,,,,
Delma Airport,AE,Delma Island,ZDY,,,,
La AraucanÃ,CL,Temuco,ZCO,,,,
General Leobardo C. Ruiz International Airport,MX,Zacatecas,ZCL,,,,
Sayaboury Airport,LA,Sainyabuli,ZBY,,,,
Konarak Airport,IR,Chabahar,ZBR,,,,
Bowen Airport,AU,,ZBO,,,,
Bromont (Roland Desourdy) Airport,CA,Bromont,ZBM,,,,
Herendeen Bay Airport,US,Herendeen Bay,HED,,,,
Å½abljak Airport,ME,Å½abljak Airport,ZBK,,,,
Tikchik Lodge Seaplane Base,US,Tikchik,KTH,,,,
Bathurst Airport,CA,Bathurst,ZBF,,,,
Lonely Air Station,US,Lonely,LNI,,,,
Zabreh Ostrava Airport,CZ,Zabreh,ZBE,,,,
Zaragoza Air Base,ES,Zaragoza,ZAZ,,,,
Zhaotong Airport,CN,Zhaotong,ZAT,,,,
Zaria Airport,NG,Zaria,ZAR,,,,
Cahors-Lalbenque Airport,FR,Cahors/Lalbenque,ZAO,,,,
Zamboanga International Airport,PH,Zamboanga City,ZAM,,,,
Pichoy Airport,CL,Valdivia,ZAL,,,,
Zaranj Airport,AF,Zaranj,ZAJ,,,,
Zahedan International Airport,IR,Zahedan,ZAH,,,,
Zagreb Airport,HR,Zagreb,ZAG,,,,
Zadar Airport,HR,Zemunik (Zadar),ZAD,,,,
York Landing Airport,CA,York Landing,ZAC,,,,
Alice Arm/Silver City Seaplane Base,CA,,ZAA,,,,
Nauru International Airport,NR,Yaren District,INU,,,,
HIPS,26.2041,1,ZA-GT,,,,
Trail Airport,CA,Trail,YZZ,,,,
Zhangye Ganzhou Airport,CN,Zhangye,YZY,,,,
CFB Greenwood,CA,Greenwood,YZX,,,,
Lumbala Airport,AO,Lumbala,GGC,,,,
Jamba Airport,AO,Jamba,JMB,,,,
Capanda Airport,AO,Capanda,KNP,,,,
Teslin Airport,CA,Teslin,YZW,,,,
Sept-ÃŽles Airport,CA,Sept-ÃŽles,YZV,,,,
Whitecourt Airport,CA,Whitecourt,YZU,,,,
Port Hardy Airport,CA,Port Hardy,YZT,,,,
Coral Harbour Airport,CA,Coral Harbour,YZS,,,,
Chris Hadfield Airport,CA,Sarnia,YZR,,,,
Sandspit Airport,CA,Sandspit,YZP,,,,
Slave Lake Airport,CA,Slave Lake,YZH,,,,
Salluit Airport,CA,Salluit,YZG,,,,
Yellowknife Airport,CA,Yellowknife,YZF,,,,
Gore Bay Manitoulin Airport,CA,Gore Bay,YZE,,,,
Los Menucos Airport,AR,Los Menucos,LMD,,,,
Cache Creek-Ashcroft Regional Airport,CA,Cache Creek,YZA,,,,
Lester B. Pearson International Airport,CA,Toronto,YYZ,,,,
Mont Joli Airport,CA,Mont-Joli,YYY,,,,
Armstrong Airport,CA,Armstrong,YYW,,,,
Kapuskasing Airport,CA,Kapuskasing,YYU,,,,
St. John's International Airport,CA,St. John's,YYT,,,,
Blissville Airport,CA,Blissville,YYS,,,,
Goose Bay Airport,CA,Goose Bay,YYR,,,,
Churchill Airport,CA,Churchill,YYQ,,,,
Swift Current Airport,CA,Swift Current,YYN,,,,
Cowley Airport,CA,Cowley,YYM,,,,
Lynn Lake Airport,CA,Lynn Lake,YYL,,,,
Victoria International Airport,CA,Victoria,YYJ,,,,
Lady Elliot Island Airstrip,AU,Lady Elliot Island,LYT,,,,
Rivers Airport,CA,,YYI,,,,
Taloyoak Airport,CA,Taloyoak,YYH,,,,
Charlottetown Airport,CA,Charlottetown,YYG,,,,
Penticton Airport,CA,Penticton,YYF,,,,
Fort Nelson Airport,CA,Fort Nelson,YYE,,,,
Smithers Airport,CA,Smithers,YYD,,,,
Calgary International Airport,CA,Calgary,YYC,,,,
Diamantina Lakes Airport,AU,Diamantina Lakes,DYM,,,,
Hayman Island Resort Seaplane Base,AU,Hayman Island,HIS,,,,
Helenvale Airport,AU,Helenvale,HLV,,,,
Kimberley Downs Airport,AU,Kimberley Downs,KBD,,,,
Kulgera Airport,AU,Kulgera,KGR,,,,
Miranda Downs Airport,AU,Miranda Downs,MWY,,,,
North Bay Jack Garland Airport,CA,North Bay,YYB,,,,
Sanhe Airport,CN,Yueyang,YYA,,,,
Wawa Airport,CA,Wawa,YXZ,,,,
Whitehorse / Erik Nielsen International Airport,CA,Whitehorse,YXY,,,,
Abbotsford Airport,CA,Abbotsford,YXX,,,,
London Airport,CA,London,YXU,,,,
Northwest Regional Airport Terrace-Kitimat,CA,Terrace,YXT,,,,
Prince George Airport,CA,Prince George,YXS,,,,
Earlton (Timiskaming Regional) Airport,CA,Earlton,YXR,,,,
Beaver Creek Airport,CA,Beaver Creek,YXQ,,,,
Pangnirtung Airport,CA,Pangnirtung,YXP,,,,
Whale Cove Airport,CA,Whale Cove,YXN,,,,
Sioux Lookout Airport,CA,Sioux Lookout,YXL,,,,
Rimouski Airport,CA,Rimouski,YXK,,,,
Fort St John Airport,CA,Fort St.John,YXJ,,,,
Bonnechere Airport,CA,Killaloe,YXI,,,,
Kompiam Airport,PG,,KPM,,,,
Medicine Hat Airport,CA,Medicine Hat,YXH,,,,
Saskatoon John G. Diefenbaker International Airport,CA,Saskatoon,YXE,,,,
Edmonton City Centre (Blatchford Field) Airport,CA,Edmonton,YXD,,,,
Munduku Airport,PG,Munduku,MDM,,,,
Kondobol Airport,PG,Kondobol,KPF,,,,
Cranbrook/Canadian Rockies International Airport,CA,Cranbrook,YXC,,,,
Wrigley Airport,CA,Wrigley,YWY,,,,
Whistler/Green Lake Water Aerodrome,CA,Whistler,YWS,,,,
Embessa Airport,PG,Embessa,EMS,,,,
White River Seaplane Base,CA,White River,YWR,,,,
Eliptamin Airport,PG,Eliptamin,EPT,,,,
Engati Airstrip,PG,Engati,EGA,,,,
Emo River Airstrip,PG,Emo Mission,EMO,,,,
Erume Airport,PG,Erume,ERU,,,,
Meselia Airport,PG,Demgulu,MFZ,,,,
Feramin Airport,PG,Feramin,FRQ,,,,
Frieda River Airport,PG,Frieda River,FAQ,,,,
Fuma Airport,PG,Fuma,FUM,,,,
Goroka Airport,PG,Goronka,GKA,,,,
Guari Airport,PG,Guari,GUG,,,,
Garasa Airport,PG,Au,GRL,,,,
Gurney Airport,PG,Gurney,GUR,,,,
Gusap Airport,PG,Gusap,GAP,,,,
Chute-Des-Passes/Lac Margane Seaplane Base,CA,Chutes-des-Passes,YWQ,,,,
Gasuke Airport,PG,Gasuke,GBC,,,,
Habi Airport,PG,Habi,HBD,,,,
Heiweni Airport,PG,Heiweni,HNI,,,,
Honinabi Airport,PG,Honinabi,HNN,,,,
Kimbe Airport,PG,Hoskins,HKN,,,,
Haivaro Airport,PG,Haivaro,HIT,,,,
Imane Airport,PG,Imane,IMN,,,,
Kungim Airport,PG,Kungim,KGM,,,,
Imonda Airport,PG,Imonda,IMD,,,,
Ialibu Airport,PG,Ialibu,IAL,,,,
Webequie Airport,CA,Webequie,YWP,,,,
Yongai Airport,PG,Yongai,KGH,,,,
Losuia Airport,PG,Losuia,LSA,,,,
Kopiago Airport,PG,Kopiago,KPA,,,,
Lupin Airport,CA,Lupin Mine,YWO,,,,
Kanainj Airport,PG,Kanainj,KNE,,,,
Kikori Airport,PG,Kikori,KRI,,,,
Kerema Airport,PG,Kerema,KMA,,,,
Kar Kar Airport,PG,Kar Kar Island,KRX,,,,
Aropa Airport,PG,Kieta,KIE,,,,
Kuri Airport,PG,Kuri,KUQ,,,,
Kavieng Airport,PG,Kavieng,KVG,,,,
Londolovit Airport,PG,Londolovit,LNV,,,,
Lab Lab Airport,PG,Lab Lab Mission,LAB,,,,
Lowai Airport,PG,Lowai,LWI,,,,
Leron Plains Airport,PG,Leron Plains,LPN,,,,
Lese Airport,PG,Lese,LNG,,,,
Long Island Airport,PG,Long Island,LSJ,,,,
Winisk Airport,CA,Winisk,YWN,,,,
Manari Airport,PG,Manari,MRM,,,,
Williams Harbour Airport,CA,Williams Harbour,YWM,,,,
Madang Airport,PG,Madang,MAG,,,,
Mount Hagen Kagamuga Airport,PG,Mount Hagen,HGU,,,,
Mougulu Airport,PG,Mougulu,GUV,,,,
Mendi Airport,PG,Mendi,MDU,,,,
Momote Airport,PG,Manus Island,MAS,,,,
Moro Airport,PG,Moro,MXH,,,,
Misima Island Airport,PG,Misima Island,MIS,,,,
Marawaka Airport,PG,Marawaka,MWG,,,,
Williams Lake Airport,CA,Williams Lake,YWL,,,,
Negarbo(Negabo) Airport,PG,Negarbo,GBF,,,,
Manguna Airport,PG,Manguna,MFO,,,,
Kasonombe Airport,PG,Kasonombe,KSB,,,,
Wabush Airport,CA,Wabush,YWK,,,,
DÃ©line Airport,CA,DÃ©line,YWJ,,,,
Nadzab Airport,PG,Lae,LAE,,,,
Konge Airport,PG,Konge,KGB,,,,
Victoria Harbour Seaplane Base,CA,Victoria,YWH,,,,
Komako Airport,PG,Komako,HOC,,,,
Komaio Airport,PG,Komaio,KCJ,,,,
Koroba Airport,PG,Koroba,KDE,,,,
Winnipeg / James Armstrong Richardson International Airport,CA,Winnipeg,YWG,,,,
Kangiqsujuaq (Wakeham Bay) Airport,CA,Kangiqsujuaq,YWB,,,,
Petawawa Airport,CA,Petawawa,YWA,,,,
Mapoda Airport,PG,Mapoda,MPF,,,,
Deer Lake Airport,CA,Deer Lake,YVZ,,,,
Wiarton Airport,CA,Wiarton,YVV,,,,
Buffalo Narrows Airport,CA,Buffalo Narrows,YVT,,,,
Vancouver International Airport,CA,Vancouver,YVR,,,,
Norman Wells Airport,CA,Norman Wells,YVQ,,,,
Karimui Airport,PG,Karimui,KMR,,,,
Maramuni Airport,PG,Maramuni,MWI,,,,
May River Airstrip,PG,May River,MRH,,,,
Kuujjuaq Airport,CA,Kuujjuaq,YVP,,,,
Val-d'Or Airport,CA,Val-d'Or,YVO,,,,
Qikiqtarjuaq Airport,CA,Qikiqtarjuaq,YVM,,,,
Vermilion Airport,CA,Vermilion,YVG,,,,
Vernon Airport,CA,Vernon,YVE,,,,
Yeva Airport,PG,Yeva,YVD,,,,
La Ronge Airport,CA,La Ronge,YVC,,,,
Bonaventure Airport,CA,Bonaventure,YVB,,,,
Masa Airport,PG,Masa,MBV,,,,
Iconi Airport,KM,Moroni,YVA,,,,
Rouyn Noranda Airport,CA,Rouyn-Noranda,YUY,,,,
Hall Beach Airport,CA,Hall Beach,YUX,,,,
Naujaat Airport,CA,Repulse Bay,YUT,,,,
Yushu Batang Airport,CN,Yushu,YUS,,,,
Yuma MCAS/Yuma International Airport,US,Yuma,YUM,,,,
Montreal / Pierre Elliott Trudeau International Airport,CA,MontrÃ©al,YUL,,,,
Lady Franklin Point Airport,CA,,YUJ,,,,
Yuendumu Airport,AU,,YUE,,,,
Umiujaq Airport,CA,Umiujaq,YUD,,,,
Tuktoyaktuk Airport,CA,Tuktoyaktuk,YUB,,,,
Yuanmou Air Base,CN,Yuanmou,YUA,,,,
Billy Bishop Toronto City Centre Airport,CA,Toronto,YTZ,,,,
Yangzhou Taizhou Airport,CN,,YTY,,,,
Yangzhou Taizhou Airport,CN,Yangzhou and Taizhou,YTY,,,,
Telegraph Creek Airport,CA,Telegraph Creek,YTX,,,,
Tasu Water Aerodrome,CA,Tasu,YTU,,,,
Tisdale Airport,CA,Tisdale,YTT,,,,
Timmins/Victor M. Power,CA,Timmins,YTS,,,,
CFB Trenton,CA,Trenton,YTR,,,,
Tasiujaq Airport,CA,Tasiujaq,YTQ,,,,
Tofino Harbour Seaplane Base,CA,Tofino Harbour,YTP,,,,
La Macaza / Mont-Tremblant International Inc Airport,CA,RiviÃ¨re Rouge,YTM,,,,
Big Trout Lake Airport,CA,Big Trout Lake,YTL,,,,
Thompson Airport,CA,Thompson,YTH,,,,
Sullivan Bay Seaplane Base,CA,Sullivan Bay,YTG,,,,
Alma Airport,CA,Alma,YTF,,,,
Cape Dorset Airport,CA,Cape Dorset,YTE,,,,
Thicket Portage Airport,CA,Thicket Portage,YTD,,,,
Hartley Bay Seaplane Base,CA,Hartley Bay,YTB,,,,
Pembroke Airport,CA,Pembroke,YTA,,,,
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,CA,Sachs Harbour,YSY,,,,
Yalumet Airport,PG,Yalumet,KYX,,,,
Yasuru Airport,PG,Yasuru,KSX,,,,
Bella Bella/Shearwater Seaplane Base,CA,Bella Bella,YSX,,,,
Saglek Airport,CA,RCAF Station Saglek,YSV,,,,
Summerside Airport,CA,Summerside,YSU,,,,
Lava Falls Heliport,US,Supai Village,HAE,,,,
St. Theresa Point Airport,CA,St. Theresa Point,YST,,,,
Songyuan Chaganhu Airport,CN,Qian Gorlos Mongol Autonomous County,YSQ,,,,
Marathon Airport,CA,Marathon,YSP,,,,
Postville Airport,CA,Postville,YSO,,,,
Shuswap Regional Airport,CA,Salmon Arm,YSN,,,,
Fort Smith Airport,CA,Fort Smith,YSM,,,,
St Leonard Airport,CA,St Leonard,YSL,,,,
Sanikiluaq Airport,CA,Sanikiluaq,YSK,,,,
Willmar Municipal -John L Rice Field,US,Willmar,ILL,,,,
Saint John Airport,CA,Saint John,YSJ,,,,
Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,CA,Frying Pan Island,YSI,,,,
Smiths Falls-Montague (Russ Beach) Airport,CA,Smiths Falls,YSH,,,,
Malevo Airport,BG,Haskovo,HKV,,,,
Bezmer Air Base,BG,Yambol,JAM,,,,
Aasiaat Airport,GL,Aasiaat,JEG,,,,
Lutselk'e Airport,CA,Lutselk'e,YSG,,,,
Stony Rapids Airport,CA,Stony Rapids,YSF,,,,
Alluitsup Paa Heliport,GL,Alluitsup Paa,LLU,,,,
Squamish Airport,CA,Squamish,YSE,,,,
Suffield Heliport,CA,Suffield,YSD,,,,
Qasigiannguit Heliport,GL,Qasigiannguit,JCH,,,,
Sherbrooke Airport,CA,Sherbrooke,YSC,,,,
Sudbury Airport,CA,Sudbury,YSB,,,,
Sable Island Landing Strip,CA,Sable Island,YSA,,,,
Godthaab / Nuuk Airport,GL,Nuuk,GOH,,,,
Qeqertarsuaq Heliport,GL,Qeqertarsuaq Airport,JGO,,,,
Revelstoke Airport,CA,Revelstoke,YRV,,,,
Rankin Inlet Airport,CA,Rankin Inlet,YRT,,,,
Red Sucker Lake Airport,CA,Red Sucker Lake,YRS,,,,
Innarsuit Heliport,GL,Innarsuit,IUI,,,,
Isortoq Heliport,GL,Isortoq,IOQ,,,,
Stuart Island Airstrip,CA,Big Bay,YRR,,,,
Qaqortoq Heliport,GL,Qaqortoq,JJU,,,,
Ilulissat Airport,GL,Ilulissat,JAV,,,,
Trois-RiviÃ¨res Airport,CA,Trois-RiviÃ¨res,YRQ,,,,
Kulusuk Airport,GL,Kulusuk,KUS,,,,
Kuummiut Heliport,GL,Kuummiut,KUZ,,,,
Kullorsuaq Heliport,GL,Kullorsuaq,KHQ,,,,
Kangersuatsiaq Heliport,GL,Kangersuatsiaq,KGQ,,,,
Ottawa / Rockcliffe Airport,CA,Ottawa,YRO,,,,
Maniitsoq Airport,GL,Maniitsoq,JSU,,,,
Nanortalik Heliport,GL,Nanortalik,JNN,,,,
Narsaq Heliport,GL,Narsaq,JNS,,,,
Rivers Inlet Seaplane Base,CA,Rivers Inlet,YRN,,,,
Rocky Mountain House Airport,CA,Rocky Mountain House,YRM,,,,
Red Lake Airport,CA,Red Lake,YRL,,,,
Paamiut Airport,GL,Paamiut,JFR,,,,
Roberval Airport,CA,Roberval,YRJ,,,,
RiviÃ¨re-du-Loup Airport,CA,RiviÃ¨re-du-Loup,YRI,,,,
Rigolet Airport,CA,Rigolet,YRG,,,,
Cartwright Airport,CA,Cartwright,YRF,,,,
Dean River Airport,CA,Kimsquit Valley,YRD,,,,
Refuge Cove Seaplane Base,CA,Desolation Sound,YRC,,,,
Sisimiut Airport,GL,Sisimiut,JHS,,,,
Resolute Bay Airport,CA,Resolute Bay,YRB,,,,
Rae Lakes Airport,CA,GamÃ¨tÃ¬,YRA,,,,
Quesnel Airport,CA,Quesnel,YQZ,,,,
Sydney / J.A. Douglas McCurdy Airport,CA,Sydney,YQY,,,,
Upernavik Airport,GL,Upernavik,JUV,,,,
Gander International Airport,CA,Gander,YQX,,,,
Qaarsut Airport,GL,Uummannaq,JQA,,,,
Ukkusissat Heliport,GL,Ukkusissat,JUK,,,,
North Battleford Airport,CA,North Battleford,YQW,,,,
Yorkton Municipal Airport,CA,Yorkton,YQV,,,,
Grande Prairie Airport,CA,Grande Prairie,YQU,,,,
Thunder Bay Airport,CA,Thunder Bay,YQT,,,,
St Thomas Municipal Airport,CA,St Thomas,YQS,,,,
Regina International Airport,CA,Regina,YQR,,,,
Comox Airport,CA,Comox,YQQ,,,,
Nakina Airport,CA,Nakina,YQN,,,,
Greater Moncton RomÃ©o LeBlanc International Airport,CA,Moncton,YQM,,,,
Lethbridge County Airport,CA,Lethbridge,YQL,,,,
EgilsstaÃ°ir Airport,IS,EgilsstaÃ°ir,EGS,,,,
FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur Airport,IS,FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur,FAS,,,,
FagurhÃ³lsmÃ½ri Airport,IS,FagurhÃ³lsmÃ½ri,FAG,,,,
GrundarfjÃ¶rÃ°ur Airport,IS,GrundarfjÃ¶rÃ°ur,GUU,,,,
GjÃ¶gur Airport,IS,GjÃ¶gur,GJR,,,,
GrÃ,IS,GrÃ,GRY,,,,
HÃ³lmavÃ,IS,HÃ³lmavÃ,HVK,,,,
HornafjÃ¶rÃ°ur Airport,IS,HÃ¶fn,HFN,,,,
Holt Airport,IS,Flateyri,FLI,,,,
HÃºsavÃ,IS,HÃºsavÃ,HZK,,,,
KrÃ³kstaÃ°armelar Airport,IS,Hvammstangi,HVM,,,,
IngjaldssanÃ°ur Airport,IS,OnundarfjÃ¶rÃ°ur,HLO,,,,
Ã,IS,Ã,IFJ,,,,
Kenora Airport,CA,Kenora,YQK,,,,
Keflavik International Airport,IS,ReykjavÃ,KEF,,,,
April Point Seaplane Base,CA,Quadra Island,YQJ,,,,
Yarmouth Airport,CA,Yarmouth,YQI,,,,
Watson Lake Airport,CA,Watson Lake,YQH,,,,
Windsor Airport,CA,Windsor,YQG,,,,
Red Deer Regional Airport,CA,Red Deer,YQF,,,,
The Pas Airport,CA,The Pas,YQD,,,,
Quaqtaq Airport,CA,Quaqtaq,YQC,,,,
Quebec Jean Lesage International Airport,CA,Quebec,YQB,,,,
Muskoka Airport,CA,Muskoka,YQA,,,,
ReykjahlÃ,IS,Myvatn,MVA,,,,
Burns Lake Airport,CA,Burns Lake,YPZ,,,,
Fort Chipewyan Airport,CA,Fort Chipewyan,YPY,,,,
Puvirnituq Airport,CA,Puvirnituq,YPX,,,,
Powell River Airport,CA,Powell River,YPW,,,,
Pender Harbour Seaplane Base,CA,,YPT,,,,
Port Hawkesbury Airport,CA,Port Hawkesbury,YPS,,,,
Prince Rupert Airport,CA,Prince Rupert,YPR,,,,
Peterborough Airport,CA,Peterborough,YPQ,,,,
Peawanuck Airport,CA,Peawanuck,YPO,,,,
Port Menier Airport,CA,Port-Menier,YPN,,,,
Pikangikum Airport,CA,Pikangikum,YPM,,,,
Pickle Lake Airport,CA,Pickle Lake,YPL,,,,
Aupaluk Airport,CA,Aupaluk,YPJ,,,,
Port Simpson Seaplane Base,CA,Lax Kw'alaams,YPI,,,,
Inukjuak Airport,CA,Inukjuak,YPH,,,,
Southport Airport,CA,Portage la Prairie,YPG,,,,
Peace River Airport,CA,Peace River,YPE,,,,
Parry Sound Area Municipal Airport,CA,Parry Sound,YPD,,,,
Paulatuk (Nora Aliqatchialuk Ruben) Airport,CA,Paulatuk,YPC,,,,
Alberni Valley Regional Airport,CA,Port Alberni,YPB,,,,
Prince Albert Glass Field,CA,Prince Albert,YPA,,,,
C J.H.L.(Joe) Lecomte) Heliport,CA,Valcartier,YOY,,,,
